id,dificultad,tema,enunciado,input_desc,output_desc,restricciones,ejemplo_entrada,ejemplo_salida,codigo,explicacion,tiempo,memoria
ex_0011,dificil,dp,"Dadas dos cadenas s (texto) y p (patrón), determina si p coincide exactamente con todo s. El patrón admite dos operadores:. coincide con cualquier carácter individual* coincide con cero o más repeticiones del carácter inmediatamente anteriorLa coincidencia debe cubrir toda la cadena s (no se permiten coincidencias parciales).",Dos cadenas: una cadena de texto y una cadena patrón que puede incluir los símbolos . y *.,Un valor booleano que indica si el patrón coincide completamente con la cadena.,1 ? longitud de s ? 201 ? longitud de p ? 20Cada * siempre tiene un carácter válido inmediatamente antes,"s = ""aa""p = ""a*""",TRUE,"def regex_match(s: str, p: str) -> bool:    m, n = len(s), len(p)    dp = [[False] * (n + 1) for _ in range(m + 1)]    dp[0][0] = True    # Patrones como a*, a*b*, etc. pueden coincidir con cadena vacía    for j in range(2, n + 1):        if p[j - 1] == ""*"" and dp[0][j - 2]:            dp[0][j] = True    for i in range(1, m + 1):        for j in range(1, n + 1):            if p[j - 1] == ""*"":                # Caso 1: usar * como ""cero repeticiones""                dp[i][j] = dp[i][j - 2]                # Caso 2: usar * consumiendo un carácter si coincide                prev = p[j - 2]                if prev == ""."" or prev == s[i - 1]:                    dp[i][j] = dp[i][j] or dp[i - 1][j]            else:                if p[j - 1] == ""."" or p[j - 1] == s[i - 1]:                    dp[i][j] = dp[i - 1][j - 1]    return dp[m][n]",Se usa programación dinámica donde dp[i][j] indica si los primeros i caracteres de s coinciden con los primeros j caracteres del patrón. El caso * se maneja considerando cero repeticiones o consumir un carácter adicional si el símbolo previo coincide.,O(m · n),O(m · n)
ex_0012,intermedio,two_pointers,"Dado un arreglo de enteros no negativos que representa alturas de líneas verticales igualmente espaciadas, elige dos posiciones distintas para formar un recipiente con el eje horizontal. Calcula el máximo volumen de agua que podría contener ese recipiente. No está permitido inclinarlo.",Un arreglo de enteros no negativos que representan alturas en posiciones consecutivas.,Un entero que representa el área máxima posible formada por dos alturas y la distancia entre ellas.,2 ? n ? 100 0000 ? altura[i] ? 10 000Las posiciones están igualmente espaciadas,"height = [1,8,6,2,5,4,8,3,7]",49,"def max_container(height):    left, right = 0, len(height) - 1    best = 0    while left < right:        h = min(height[left], height[right])        area = h * (right - left)        if area > best:            best = area        # Mover el puntero que limita la altura        if height[left] < height[right]:            left += 1        else:            right -= 1    return best","Se evalúa el área usando dos extremos y se actualiza el máximo. Para buscar mejores áreas, se mueve el puntero del lado con menor altura, ya que mantener esa altura no puede mejorar el área si solo se reduce la distancia.",O(n),O(1)
ex_0013,intermedio,greedy,"Dado un entero positivo, conviértelo a su representación en números romanos usando los símbolos estándar (I, V, X, L, C, D, M) y las formas sustractivas permitidas (por ejemplo, IV, IX, XL, XC, CD, CM).",Un entero positivo dentro de un rango limitado.,Una cadena que representa el número en notación romana.,1 ? num ? 3999Deben usarse las formas sustractivas estándar cuando correspondaLa salida debe ser una representación romana válida,num = 1994,"""MCMXCIV""","def int_to_roman(num: int) -> str:    table = [        (1000, ""M""),        (900,  ""CM""),        (500,  ""D""),        (400,  ""CD""),        (100,  ""C""),        (90,   ""XC""),        (50,   ""L""),        (40,   ""XL""),        (10,   ""X""),        (9,    ""IX""),        (5,    ""V""),        (4,    ""IV""),        (1,    ""I""),    ]    res = []    for value, sym in table:        if num == 0:            break        count = num // value        if count:            res.append(sym * count)            num -= value * count    return """".join(res)","Se usa una lista de valores romanos ordenada de mayor a menor (incluyendo casos sustractivos). Se toma repetidamente el mayor valor posible, se agrega su símbolo y se reduce el número hasta llegar a cero.",O(1),O(1)
ex_0014,facil,math,"Dada una cadena que representa un número romano válido, conviértela a su valor entero correspondiente.",Una cadena que representa un número romano válido.,Un número entero que corresponde al valor del número romano.,1 ? longitud de la cadena ? 15La entrada representa un número romano válidoEl valor resultante está dentro de un rango finito,"s = ""MCMXCIV""",1994,"def roman_to_int(s: str) -> int:    value = {        ""I"": 1, ""V"": 5, ""X"": 10, ""L"": 50,        ""C"": 100, ""D"": 500, ""M"": 1000    }    total = 0    prev = 0    for ch in reversed(s):        curr = value[ch]        if curr < prev:            total -= curr        else:            total += curr        prev = curr    return total","Se recorre la cadena de derecha a izquierda. Si un símbolo tiene un valor menor que el símbolo previo, se resta; en caso contrario, se suma. Esto permite manejar correctamente las formas sustractivas.",O(n),O(1)
ex_0015,facil,strings,"Dado un conjunto de cadenas, determina el prefijo común más largo que aparece al inicio de todas ellas. Si no existe un prefijo común, devuelve una cadena vacía.",Un arreglo de cadenas.,"Una cadena que representa el prefijo común más largo entre todas las cadenas, o una cadena vacía si no existe.",1 ? número de cadenas ? 200Cada cadena puede ser vacíaLas cadenas contienen solo letras minúsculas,"strs = [""flower"", ""flow"", ""flight""]","""fl""","def longest_common_prefix(strs):    if not strs:        return """"    prefix = strs[0]    for s in strs[1:]:        i = 0        while i < len(prefix) and i < len(s) and prefix[i] == s[i]:            i += 1        prefix = prefix[:i]        if not prefix:            return """"    return prefix","Se toma la primera cadena como prefijo inicial y se va recortando al compararla con cada una de las demás, manteniendo solo los caracteres coincidentes desde el inicio.",O(n · m),O(1)
ex_0016,dificil,two_pointers,"Dado un arreglo de enteros, encuentra todas las ternas de valores distintos por índice cuya suma sea igual a 0. El conjunto de ternas devuelto no debe contener duplicados (dos ternas se consideran iguales si contienen los mismos valores, sin importar el orden).",Un arreglo de enteros (puede contener valores repetidos y negativos).,"Una lista de ternas (listas de 3 enteros) cuya suma sea 0, sin duplicados.",3 ? longitud del arreglo ? 3000Los valores pueden ser negativos y repetidosNo deben repetirse ternas equivalentes en la salida,"nums = [-1,0,1,2,-1,-4]","[[-1,-1,2],[-1,0,1]]","def three_sum(nums):    nums.sort()    res = []    n = len(nums)    for i in range(n - 2):        if i > 0 and nums[i] == nums[i - 1]:            continue  # evitar duplicados en el primer elemento        a = nums[i]        left, right = i + 1, n - 1        while left < right:            s = a + nums[left] + nums[right]            if s == 0:                res.append([a, nums[left], nums[right]])                left += 1                right -= 1                # saltar duplicados en left y right                while left < right and nums[left] == nums[left - 1]:                    left += 1                while left < right and nums[right] == nums[right + 1]:                    right -= 1            elif s < 0:                left += 1            else:                right -= 1    return res","Se ordena el arreglo y para cada posición fija i se usa un par de punteros para buscar pares que completen suma 0. El control de duplicados se logra saltando valores repetidos tanto en i como en los punteros, evitando ternas equivalentes.",O(n^2),O(1)
ex_0017,intermedio,two_pointers,"Dado un arreglo de enteros y un valor objetivo, elige tres elementos en índices distintos de forma que su suma sea la más cercana posible al objetivo. Devuelve esa suma.",Un arreglo de enteros y un entero objetivo.,Un entero que representa la suma de tres elementos cuya distancia absoluta al objetivo es mínima.,3 ? longitud del arreglo ? 500Los valores pueden ser negativosExiste una única respuesta óptima,"nums = [-1,2,1,-4], target = 1",2,"def three_sum_closest(nums, target):    nums.sort()    n = len(nums)    best = nums[0] + nums[1] + nums[2]    for i in range(n - 2):        left, right = i + 1, n - 1        while left < right:            s = nums[i] + nums[left] + nums[right]            if abs(s - target) < abs(best - target):                best = s            if s == target:                return s            elif s < target:                left += 1            else:                right -= 1    return best",Se ordena el arreglo y para cada índice fijo se usan dos punteros para explorar sumas posibles. Se mantiene la mejor suma encontrada según la distancia absoluta al objetivo y se ajustan punteros según si la suma actual es menor o mayor que el objetivo.,O(n^2),O(1)
ex_0018,intermedio,backtracking,"Dada una cadena de dígitos entre 2 y 9, genera todas las posibles combinaciones de letras que se pueden formar asociando cada dígito con un conjunto fijo de letras. Devuelve todas las combinaciones posibles.",Una cadena de dígitos del 2 al 9.,Una lista de cadenas que representan todas las combinaciones posibles de letras.,1 ? longitud de la cadena ? 4Cada dígito corresponde a un conjunto de letrasEl orden de la salida no importa,"digits = ""23""","[""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]","def letter_combinations(digits):    if not digits:        return []    mapping = {        ""2"": ""abc"", ""3"": ""def"", ""4"": ""ghi"", ""5"": ""jkl"",        ""6"": ""mno"", ""7"": ""pqrs"", ""8"": ""tuv"", ""9"": ""wxyz""    }    res = []    def backtrack(i, path):        if i == len(digits):            res.append("""".join(path))            return        for ch in mapping[digits[i]]:            path.append(ch)            backtrack(i + 1, path)            path.pop()    backtrack(0, [])    return res",Se construyen las combinaciones letra por letra avanzando sobre la cadena de dígitos. En cada posición se prueban todas las letras asociadas al dígito actual y se continúa hasta completar una combinación.,O(k^n),O(n)
ex_0019,dificil,two_pointers,"Dado un arreglo de enteros y un valor objetivo, encuentra todas las combinaciones únicas de cuatro valores (usando índices distintos) cuya suma sea igual al objetivo. No deben repetirse combinaciones equivalentes en la salida.",Un arreglo de enteros y un entero objetivo.,"Una lista de cuádruples (listas de 4 enteros) cuya suma es el objetivo, sin duplicados.",1 ? longitud del arreglo ? 200Los valores pueden repetirse y ser negativosNo deben repetirse cuádruples equivalentes en la salida,"nums = [1,0,-1,0,-2,2], target = 0","[[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]","def four_sum(nums, target):    nums.sort()    n = len(nums)    res = []    for i in range(n - 3):        if i > 0 and nums[i] == nums[i - 1]:            continue        for j in range(i + 1, n - 2):            if j > i + 1 and nums[j] == nums[j - 1]:                continue            left, right = j + 1, n - 1            while left < right:                s = nums[i] + nums[j] + nums[left] + nums[right]                if s == target:                    res.append([nums[i], nums[j], nums[left], nums[right]])                    left += 1                    right -= 1                    while left < right and nums[left] == nums[left - 1]:                        left += 1                    while left < right and nums[right] == nums[right + 1]:                        right -= 1                elif s < target:                    left += 1                else:                    right -= 1    return res",Se ordena el arreglo y se fijan dos posiciones con dos bucles. Para las posiciones restantes se usa un par de punteros para encontrar sumas iguales al objetivo. Se evitan duplicados saltando valores repetidos en cada nivel.,O(n^3),O(1)
ex_0020,intermedio,linked_list,"Dada la cabeza de una lista enlazada, elimina el nodo que se encuentra en la posición n contando desde el final de la lista y devuelve la cabeza resultante.",Una lista enlazada y un entero positivo n que indica una posición contada desde el final.,La cabeza de la lista enlazada después de eliminar el nodo indicado.,1 ? número de nodos ? 301 ? n ? tamaño de la listaLos valores de los nodos son no negativos,"head = [1,2,3,4,5], n = 2","[1,2,3,5]","class ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef remove_nth_from_end(head, n):    dummy = ListNode(0, head)    slow = dummy    fast = dummy    # Avanzar fast n+1 pasos    for _ in range(n + 1):        fast = fast.next    # Mover ambos hasta que fast llegue al final    while fast:        slow = slow.next        fast = fast.next    # Eliminar el nodo    slow.next = slow.next.next    return dummy.next","Se usan dos punteros con una separación fija. Cuando el puntero rápido llega al final, el puntero lento queda justo antes del nodo a eliminar, permitiendo ajustar los enlaces en una sola pasada.",O(n),O(1)
ex_0021,facil,stack,"Dada una cadena formada únicamente por paréntesis y corchetes, determina si la secuencia es válida. Una secuencia es válida si cada símbolo de apertura se cierra con el mismo tipo de símbolo y en el orden correcto.","Una cadena compuesta únicamente por los caracteres (, ), {, }, [ y ].",Un valor booleano que indica si la secuencia es válida o no.,1 ? longitud de la cadena ? 10 000La cadena contiene solo símbolos de paréntesis y corchetesEl orden de cierre debe respetar el orden de apertura,"s = ""([])""",TRUE,"def is_valid_parentheses(s: str) -> bool:    stack = []    match = {')': '(', ']': '[', '}': '{'}    for ch in s:        if ch in match.values():            stack.append(ch)        else:            if not stack or stack[-1] != match.get(ch):                return False            stack.pop()    return not stack","Se utiliza una pila para almacenar los símbolos de apertura. Al encontrar un símbolo de cierre, se verifica que corresponda al último símbolo abierto. Al final, la pila debe quedar vacía para que la secuencia sea válida.",O(n),O(n)
ex_0022,facil,linked_list,Se te dan las cabezas de dos listas enlazadas ordenadas. Combina ambas listas en una sola lista enlazada ordenada utilizando los nodos existentes y devuelve la cabeza del resultado.,Dos listas enlazadas ordenadas en orden no decreciente.,La cabeza de una lista enlazada que contiene todos los nodos de ambas listas en orden.,El número total de nodos es acotadoLos valores pueden ser negativosLas listas de entrada ya están ordenadas,"list1 = [1,2,4]list2 = [1,3,4]","[1,1,2,3,4,4]","class ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef merge_two_lists(l1, l2):    dummy = ListNode()    curr = dummy    while l1 and l2:        if l1.val <= l2.val:            curr.next = l1            l1 = l1.next        else:            curr.next = l2            l2 = l2.next        curr = curr.next    curr.next = l1 if l1 else l2    return dummy.next","Se comparan los valores actuales de ambas listas y se enlaza el nodo menor al resultado. El proceso continúa hasta que una lista se agota, enlazando luego el resto de la otra lista.",O(n + m),O(1)
ex_0023,intermedio,backtracking,"Dado un entero n, genera todas las cadenas distintas que representen secuencias de paréntesis correctamente balanceadas usando exactamente n pares.",Un entero n que indica el número de pares de paréntesis.,Una lista de cadenas con todas las secuencias válidas de longitud 2n.,1 ? n ? 8Cada salida debe estar correctamente balanceadaNo deben repetirse secuencias en la salida,n = 3,"[""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]","def generate_parentheses(n: int):    res = []    def build(curr, opened, closed):        if len(curr) == 2 * n:            res.append(curr)            return        if opened < n:            build(curr + ""("", opened + 1, closed)        if closed < opened:            build(curr + "")"", opened, closed + 1)    build("""", 0, 0)    return res","Se construyen cadenas agregando paréntesis de apertura mientras no se exceda n, y paréntesis de cierre solo si no supera la cantidad de aperturas ya colocadas. Esto garantiza que todas las secuencias generadas sean válidas.",O(C_n),O(n)
ex_0024,dificil,heaps,Se recibe un conjunto de k listas enlazadas ordenadas en forma ascendente. Combina todas las listas en una sola lista enlazada ordenada y devuelve la cabeza del resultado.,Un arreglo de k listas enlazadas ordenadas (cada una puede estar vacía).,La cabeza de una lista enlazada ordenada que contiene todos los nodos de todas las listas.,0 ? k ? 10 000La suma total de nodos no excede 10 000Cada lista de entrada ya está ordenada,"lists = [[1,4,5],[1,3,4],[2,6]]","[1,1,2,3,4,4,5,6]","import heapqclass ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef merge_k_lists(lists):    heap = []    uid = 0  # para desempatar nodos con mismo valor    for node in lists:        if node:            heapq.heappush(heap, (node.val, uid, node))            uid += 1    dummy = ListNode()    tail = dummy    while heap:        _, _, node = heapq.heappop(heap)        tail.next = node        tail = tail.next        if node.next:            heapq.heappush(heap, (node.next.val, uid, node.next))            uid += 1    tail.next = None    return dummy.next",Se mantiene un heap con el nodo actual más pequeño de cada lista. Se extrae el mínimo y se agrega al resultado; luego se inserta el siguiente nodo de la lista de donde salió. Esto asegura que siempre se elige el menor disponible.,O(N log k),O(k)
ex_0025,dificil,linked_list,Se recibe un conjunto de k listas enlazadas ordenadas en forma ascendente. Combina todas las listas en una sola lista enlazada ordenada y devuelve la cabeza del resultado.,Un arreglo de k listas enlazadas ordenadas (cada una puede estar vacía).,La cabeza de una lista enlazada ordenada que contiene todos los nodos de todas las listas.,0 ? k ? 10 000La suma total de nodos no excede 10 000Cada lista de entrada ya está ordenada,"lists = [[1,4,5],[1,3,4],[2,6]]","[1,1,2,3,4,4,5,6]","class ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef merge_two(a, b):    dummy = ListNode()    tail = dummy    while a and b:        if a.val <= b.val:            tail.next = a            a = a.next        else:            tail.next = b            b = b.next        tail = tail.next    tail.next = a if a else b    return dummy.nextdef merge_k_lists(lists):    if not lists:        return None    interval = 1    while interval < len(lists):        for i in range(0, len(lists) - interval, interval * 2):            lists[i] = merge_two(lists[i], lists[i + interval])        interval *= 2    return lists[0]","Se mezclan listas en parejas: primero se combinan de 2 en 2, luego los resultados se vuelven a combinar, repitiendo hasta quedar una sola lista. Esto reduce la cantidad de mezclas necesarias y mantiene eficiencia.",O(N log k),O(1)
ex_0026,intermedio,linked_list,"Dada la cabeza de una lista enlazada, intercambia cada par de nodos adyacentes y devuelve la cabeza de la lista resultante. La estructura de la lista debe modificarse únicamente mediante enlaces entre nodos.",La cabeza de una lista enlazada.,La cabeza de la lista enlazada después de intercambiar cada par de nodos adyacentes.,La lista puede estar vacíaEl número de nodos es acotadoLos valores de los nodos no deben modificarse,"head = [1,2,3,4]","[2,1,4,3]","class ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef swap_pairs(head):    dummy = ListNode(0, head)    prev = dummy    while prev.next and prev.next.next:        first = prev.next        second = first.next        first.next = second.next        second.next = first        prev.next = second        prev = first    return dummy.next",Se utiliza un nodo ficticio para simplificar el manejo de la cabeza. En cada iteración se intercambian dos nodos consecutivos ajustando únicamente los enlaces entre ellos y se avanza al siguiente par.,O(n),O(1)
